"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
01/31/13,"Thu.","NY Rangers",0,"Pittsburgh",3,,17200
01/31/13,"Thu.","Boston",4,"Buffalo",7,,17565
01/31/13,"Thu.","Columbus",1,"St. Louis",4,,11155
01/31/13,"Thu.","Florida",6,"Winnipeg",3,,15731
01/31/13,"Thu.","Toronto",3,"Washington",2,,19374
02/01/13,"Fri.","Tampa Bay",8,"Winnipeg",3,,19204
02/01/13,"Fri.","Detroit",5,"St. Louis",3,,20066
02/01/13,"Fri.","Dallas",4,"Phoenix",3,"SO",18101
02/01/13,"Fri.","Carolina",1,"Ottawa",0,,18680
02/01/13,"Fri.","Anaheim",3,"Minnesota",1,,13007
02/01/13,"Fri.","Vancouver",2,"Chicago",1,"SO",18910
02/01/13,"Fri.","Washington",3,"Philadelphia",2,,18506
02/02/13,"Sat.","Calgary",2,"Chicago",3,"SO",19289
02/02/13,"Sat.","Toronto",0,"Boston",1,,19246
02/02/13,"Sat.","Philadelphia",5,"Carolina",3,,19691
02/02/13,"Sat.","Phoenix",2,"Dallas",0,,12151
02/02/13,"Sat.","Colorado",3,"Edmonton",1,,16119
02/02/13,"Sat.","Columbus",4,"Detroit",2,,17612
02/02/13,"Sat.","Anaheim",7,"Los Angeles",4,,17436
02/02/13,"Sat.","Pittsburgh",5,"New Jersey",1,,18635
02/02/13,"Sat.","San Jose",1,"Nashville",2,"SO",17562
02/02/13,"Sat.","Tampa Bay",2,"NY Rangers",3,,19204
02/02/13,"Sat.","Montreal",6,"Buffalo",1,,21273
02/03/13,"Sun.","Buffalo",3,"Florida",4,,18831
02/03/13,"Sun.","NY Islanders",0,"New Jersey",3,,11558
02/03/13,"Sun.","Montreal",2,"Ottawa",1,,21273
02/03/13,"Sun.","Washington",3,"Pittsburgh",6,,18506
02/04/13,"Mon.","Toronto",1,"Carolina",4,,19072
02/04/13,"Mon.","Colorado",2,"Dallas",3,,13441
02/04/13,"Mon.","Phoenix",2,"Minnesota",1,,9508
02/04/13,"Mon.","Edmonton",2,"Vancouver",3,"OT",16839
02/04/13,"Mon.","Anaheim",2,"San Jose",1,,14324
02/05/13,"Tue.","San Jose",3,"Chicago",5,,17562
02/05/13,"Tue.","Columbus",2,"Los Angeles",4,,11019
02/05/13,"Tue.","Winnipeg",3,"Florida",2,"OT",15004
02/05/13,"Tue.","St. Louis",1,"Nashville",6,,15206
02/05/13,"Tue.","New Jersey",3,"NY Rangers",1,,17625
02/05/13,"Tue.","NY Islanders",2,"Pittsburgh",4,,11318
02/05/13,"Tue.","Detroit",1,"Calgary",4,,20066
02/05/13,"Tue.","Ottawa",4,"Buffalo",3,,18345
02/05/13,"Tue.","Washington",2,"Toronto",3,,18506
02/05/13,"Tue.","Philadelphia",2,"Tampa Bay",1,,19616
02/06/13,"Wed.","Edmonton",2,"Dallas",3,"OT",16839
02/06/13,"Wed.","Montreal",1,"Boston",2,,21273
02/06/13,"Wed.","Colorado",0,"Anaheim",3,,13776
02/07/13,"Thu.","Phoenix",2,"Chicago",6,,15096
02/07/13,"Thu.","Ottawa",2,"Carolina",3,"OT",17337
02/07/13,"Thu.","St. Louis",1,"Detroit",5,,17699
02/07/13,"Thu.","Nashville",3,"Los Angeles",0,,17113
02/07/13,"Thu.","Philadelphia",2,"Florida",3,"SO",19616
02/07/13,"Thu.","Buffalo",5,"Montreal",4,"SO",18866
02/07/13,"Thu.","NY Rangers",4,"NY Islanders",1,,17200
02/07/13,"Thu.","Minnesota",1,"Vancouver",4,,18352
02/07/13,"Thu.","Columbus",3,"Calgary",4,"OT",10484
02/07/13,"Thu.","Winnipeg",2,"Toronto",3,,15004
02/07/13,"Thu.","New Jersey",4,"Tampa Bay",2,,14802
02/07/13,"Thu.","Pittsburgh",5,"Washington",2,,18650
02/08/13,"Fri.","Dallas",3,"Anaheim",1,,18112
02/09/13,"Sat.","New Jersey",3,"Pittsburgh",1,,17625
02/09/13,"Sat.","Minnesota",2,"Nashville",1,"OT",18806
02/09/13,"Sat.","Detroit",2,"Edmonton",1,,20066
02/09/13,"Sat.","Philadelphia",4,"Carolina",3,"OT",19691
02/09/13,"Sat.","San Jose",0,"Phoenix",1,"SO",17562
02/09/13,"Sat.","Vancouver",5,"Calgary",1,,18910
02/09/13,"Sat.","NY Islanders",2,"Buffalo",3,,12608
02/09/13,"Sat.","St. Louis",5,"Anaheim",6,"SO",18835
02/09/13,"Sat.","Montreal",0,"Toronto",6,,21273
02/09/13,"Sat.","Ottawa",0,"Winnipeg",1,,18594
02/09/13,"Sat.","Washington",5,"Florida",0,,18506
02/10/13,"Sun.","Nashville",0,"Chicago",3,,17113
02/10/13,"Sun.","Columbus",1,"Edmonton",3,,14364
02/10/13,"Sun.","Detroit",3,"Los Angeles",2,,20066
02/10/13,"Sun.","Pittsburgh",1,"New Jersey",3,,18658
02/10/13,"Sun.","Buffalo",1,"Boston",3,,18869
02/10/13,"Sun.","NY Rangers",5,"Tampa Bay",1,,17200
02/11/13,"Mon.","NY Islanders",4,"Carolina",6,,9622
02/11/13,"Mon.","St. Louis",1,"Los Angeles",4,,14498
02/11/13,"Mon.","Calgary",1,"Minnesota",2,"SO",19289
02/11/13,"Mon.","Toronto",5,"Philadelphia",2,,19253
02/11/13,"Mon.","Colorado",2,"Phoenix",3,"OT",14063
02/11/13,"Mon.","Columbus",6,"San Jose",2,,10837
02/12/13,"Tue.","New Jersey",2,"Carolina",4,,17625
02/12/13,"Tue.","Edmonton",1,"Dallas",4,,16839
02/12/13,"Tue.","Tampa Bay",3,"Montreal",4,"SO",19204
02/12/13,"Tue.","Vancouver",2,"Minnesota",1,,18910
02/12/13,"Tue.","Winnipeg",2,"Philadelphia",3,,15004
02/12/13,"Tue.","Boston",3,"NY Rangers",4,"SO",17565
02/12/13,"Tue.","Ottawa",2,"Buffalo",0,,18429
02/12/13,"Tue.","Chicago",2,"Anaheim",3,"SO",21188
02/12/13,"Tue.","Nashville",1,"San Jose",0,"OT",17113
02/12/13,"Tue.","Florida",5,"Washington",6,"OT",15340
02/13/13,"Wed.","Detroit",3,"St. Louis",4,"OT",20066
02/13/13,"Wed.","Pittsburgh",4,"Ottawa",2,,18637
02/13/13,"Wed.","Calgary",7,"Dallas",4,,19289
02/14/13,"Thu.","Florida",0,"Montreal",1,"OT",17021
02/14/13,"Thu.","Minnesota",3,"Colorado",4,"SO",18822
02/14/13,"Thu.","NY Rangers",3,"NY Islanders",4,"SO",17200
02/14/13,"Thu.","Nashville",3,"Phoenix",0,,17113
02/14/13,"Thu.","Carolina",3,"Toronto",1,,18680
02/14/13,"Thu.","Tampa Bay",3,"Washington",4,,19204
02/15/13,"Fri.","Los Angeles",2,"Columbus",1,,18118
02/15/13,"Fri.","Vancouver",3,"Dallas",4,,18910
02/15/13,"Fri.","New Jersey",5,"Philadelphia",3,,17625
02/15/13,"Fri.","Winnipeg",1,"Pittsburgh",3,,15004
02/15/13,"Fri.","Buffalo",4,"Boston",2,,19070
02/15/13,"Fri.","Detroit",2,"Anaheim",5,,20066
02/15/13,"Fri.","Calgary",2,"St. Louis",5,,19289
02/15/13,"Fri.","Chicago",4,"San Jose",1,,21824
02/16/13,"Sat.","Phoenix",5,"Columbus",3,,15425
02/16/13,"Sat.","Edmonton",6,"Colorado",4,,16839
02/16/13,"Sat.","NY Islanders",5,"New Jersey",1,,15488
02/16/13,"Sat.","Toronto",3,"Ottawa",0,,19537
02/16/13,"Sat.","Nashville",2,"Anaheim",3,"SO",17322
02/16/13,"Sat.","Florida",5,"Tampa Bay",6,"OT",17009
02/16/13,"Sat.","Montreal",4,"Philadelphia",1,,21273
02/17/13,"Sun.","Minnesota",3,"Detroit",2,,19117
02/17/13,"Sun.","Chicago",3,"Los Angeles",2,,21843
02/17/13,"Sun.","Buffalo",3,"Pittsburgh",4,,19070
02/17/13,"Sun.","Dallas",3,"Calgary",4,,17340
02/17/13,"Sun.","Winnipeg",2,"Boston",3,,15004
02/17/13,"Sun.","Vancouver",3,"St. Louis",4,"SO",18910
02/17/13,"Sun.","NY Rangers",2,"Washington",1,,17200
02/18/13,"Mon.","Montreal",3,"Carolina",0,,21273
02/18/13,"Mon.","Anaheim",3,"Columbus",2,,14713
02/18/13,"Mon.","Colorado",6,"Nashville",5,,15099
02/18/13,"Mon.","New Jersey",1,"Ottawa",2,"SO",17625
02/18/13,"Mon.","NY Islanders",0,"Philadelphia",7,,16170
02/18/13,"Mon.","Phoenix",4,"Calgary",0,,17208
02/18/13,"Mon.","Florida",0,"Toronto",3,,17177
02/19/13,"Tue.","Nashville",4,"Detroit",3,"OT",17113
02/19/13,"Tue.","Edmonton",1,"Los Angeles",3,,16839
02/19/13,"Tue.","NY Rangers",1,"Montreal",3,,17200
02/19/13,"Tue.","Ottawa",3,"NY Islanders",1,,18595
02/19/13,"Tue.","Chicago",4,"Vancouver",3,"SO",21423
02/19/13,"Tue.","St. Louis",1,"San Jose",2,,16100
02/19/13,"Tue.","Tampa Bay",4,"Toronto",2,,19204
02/19/13,"Tue.","Buffalo",1,"Winnipeg",2,,19070
02/20/13,"Wed.","Calgary",1,"Los Angeles",3,,19289
02/20/13,"Wed.","Pittsburgh",5,"Philadelphia",6,,18650
02/20/13,"Wed.","Colorado",1,"St. Louis",0,"OT",14651
02/21/13,"Thu.","Detroit",2,"Columbus",3,,20066
