,,"DIV","GP","W","L","OT","P","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - BUFFALO","NE",82,53,22,7,113,308,242,66,"28-10-3","25-12-4",10/04/13,07/03/00,"LOST 1"
2,"  Z - DETROIT","CEN",82,50,19,13,113,254,199,55,"29-4-8","21-15-5",02/08/13,05/01/04,"WON 1"
3,"  X - NASHVILLE","CEN",82,51,23,8,110,272,212,60,"28-8-5","23-15-3",06/05/13,05/03/02,"WON 2"
4,"  Y - ANAHEIM","PAC",82,48,20,14,110,258,208,50,"26-6-9","22-14-5",04/10/13,05/03/02,"WON 1"
5,"  X - SAN JOSE","PAC",82,51,26,5,107,258,199,59,"25-12-4","26-14-1",02/02/13,07/01/02,"LOST 1"
6,"  X - DALLAS","PAC",82,50,25,7,107,226,197,29,"28-11-2","22-14-5",09/04/13,07/01/02,"WON 2"
7,"  Y - NEW JERSEY","ATL",82,49,24,9,107,216,201,15,"25-10-6","24-14-3",10/08/13,06/03/01,"LOST 1"
8,"  Y - VANCOUVER","NW",82,49,26,7,105,222,201,21,"26-11-4","23-15-3",05/04/13,06/03/01,"LOST 1"
9,"  X - OTTAWA","NE",82,48,25,9,105,288,222,66,"25-13-3","23-12-6",02/06/13,06/02/02,"WON 1"
10,"  X - PITTSBURGH","ATL",82,47,24,11,105,277,246,31,"26-10-5","21-14-6",10/06/13,06/03/01,"WON 2"
11,"  X - MINNESOTA","NW",82,48,26,8,104,235,191,44,"29-7-5","19-19-3",10/07/13,07/02/01,"WON 3"
12," Y - ATLANTA","SE",82,43,28,11,97,246,245,1,"23-12-6","20-16-5",07/04/13,06/03/01,"WON 2"
13,"  X - CALGARY","NW",82,43,29,10,96,258,226,32,"30-9-2","13-20-8",03/05/13,06/04/00,"LOST 4"
14,"  COLORADO","NW",82,44,31,7,95,272,251,21,"22-16-3","22-15-4",05/04/13,07/02/01,"WON 1"
15,"  X - NY RANGERS","ATL",82,42,30,10,94,242,216,26,"21-15-5","21-15-5",09/05/13,07/02/01,"LOST 1"
16,"  X - TAMPA BAY","SE",82,44,33,5,93,253,261,-8,"22-18-1","22-15-4",10/02/13,05/04/01,"LOST 2"
17,"  X - NY ISLANDERS","ATL",82,40,30,12,92,248,240,8,"22-13-6","18-17-6",08/05/13,06/03/01,"WON 4"
18,"  TORONTO","NE",82,40,31,11,91,258,269,-11,"21-15-5","19-16-6",04/07/13,06/03/01,"WON 1"
19,"  MONTRÉAL","NE",82,42,34,6,90,245,256,-11,"26-12-3","16-22-3",06/05/13,07/03/00,"LOST 2"
20,"  CAROLINA","SE",82,40,34,8,88,241,253,-12,"21-16-4","19-18-4","0-5",05/05/00,"WON 1"
21,"  FLORIDA","SE",82,35,31,16,86,247,257,-10,"23-12-6",12/19/10,02/08/13,05/02/03,"LOST 1"
22,"  ST. LOUIS","CEN",82,34,35,13,81,214,254,-40,"18-19-4","16-16-9",06/06/13,04/05/01,"LOST 2"
23,"  BOSTON","NE",82,35,41,6,76,219,289,-70,"18-19-4","17-22-2",09/04/13,01/08/01,"LOST 6"
24,"  COLUMBUS","CEN",82,33,42,7,73,201,249,-48,"18-19-4","15-23-3",05/05/13,05/05/00,"LOST 1"
25,"  EDMONTON","NW",82,32,43,7,71,195,248,-53,"19-19-3","13-24-4",03/03/13,02/08/00,"WON 1"
26,"  CHICAGO","CEN",82,31,42,9,71,201,258,-57,"17-20-4","14-22-5",06/07/13,04/06/00,"LOST 2"
27,"  WASHINGTON","SE",82,28,40,14,70,235,286,-51,"17-17-7",11/23/07,01/11/13,03/06/01,"LOST 1"
28,"  LOS ANGELES","PAC",82,27,41,14,68,227,283,-56,"16-16-9",11/25/05,04/06/13,03/07/00,"WON 1"
29,"  PHOENIX","PAC",82,31,46,5,67,216,284,-68,"18-20-3","13-26-2",05/02/13,03/06/01,"WON 1"
30,"  PHILADELPHIA","ATL",82,22,48,12,56,214,303,-89,10/24/07,12/24/05,01/06/13,02/07/01,"WON 1"
