"  P - DETROIT",1
"  Z - OTTAWA",2
"  Y - DALLAS",3
"  Y - CAROLINA",4
"  X - BUFFALO",5
"  X - NASHVILLE",6
"  Y - CALGARY",7
"  Y - NEW JERSEY",8
"  X - PHILADELPHIA",9
"  X - NY RANGERS",10
"  X - SAN JOSE",11
"  X - ANAHEIM",12
"  X - COLORADO",13
"  X - EDMONTON",14
"  X - MONTRÉAL",15
"  X - TAMPA BAY",16
"  VANCOUVER",17
"  TORONTO",18
" ATLANTA",19
"  LOS ANGELES",20
"  FLORIDA",21
"  MINNESOTA",22
"  PHOENIX",23
"  NY ISLANDERS",24
"  COLUMBUS",25
"  BOSTON",26
"  WASHINGTON",27
"  CHICAGO",28
"  PITTSBURGH",29
"  ST. LOUIS",30
