"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
10/04/00,"Wed.","Dallas",2,"Colorado",2,"OT",17001
10/05/00,"Thu.","Phoenix",4,"St. Louis",1,,15115
10/05/00,"Thu.","Calgary",3,"Detroit",4,,16673
10/05/00,"Thu.","Philadelphia",6,"Vancouver",3,,19453
10/05/00,"Thu.","Buffalo",4,"Chicago",2,,17909
10/05/00,"Thu.","Boston",4,"Ottawa",4,"OT",13686
10/06/00,"Fri.","San Jose",1,"St. Louis",4,,17496
10/06/00,"Fri.","Anaheim",3,"Minnesota",1,,16520
10/06/00,"Fri.","Edmonton",2,"Detroit",1,,15897
10/06/00,"Fri.","Florida",3,"Vancouver",4,"OT",17535
10/06/00,"Fri.","Tampa Bay",3,"NY Islanders",3,"OT",20686
10/06/00,"Fri.","Washington",1,"Los Angeles",4,,18082
10/06/00,"Fri.","New Jersey",8,"Montreal",4,,19040
10/07/00,"Sat.","Phoenix",4,"Minnesota",1,,13089
10/07/00,"Sat.","Edmonton",1,"Colorado",1,"OT",15158
10/07/00,"Sat.","Columbus",3,"Chicago",5,,18136
10/07/00,"Sat.","Atlanta",1,"NY Rangers",2,,17421
10/07/00,"Sat.","Carolina",3,"Washington",3,"OT",18337
10/07/00,"Sat.","Pittsburgh",1,"Nashville",3,,13849
10/07/00,"Sat.","Philadelphia",1,"Boston",5,,19473
10/07/00,"Sat.","Ottawa",3,"Dallas",1,,18500
10/07/00,"Sat.","Toronto",2,"Montreal",0,,19311
10/07/00,"Sat.","Buffalo",5,"Los Angeles",3,,14325
10/08/00,"Sun.","Anaheim",1,"St. Louis",5,,11134
10/08/00,"Sun.","Nashville",1,"Pittsburgh",3,,13426
10/08/00,"Sun.","Tampa Bay",4,"Vancouver",5,,12322
10/09/00,"Mon.","Columbus",1,"Los Angeles",7,,18136
10/09/00,"Mon.","Toronto",1,"Dallas",3,,18818
10/09/00,"Mon.","Boston",4,"Florida",2,,14415
10/10/00,"Tue.","Calgary",1,"Colorado",3,,16031
10/10/00,"Tue.","Carolina",5,"Dallas",2,,11673
10/10/00,"Tue.","Montreal",5,"Edmonton",2,,20108
10/11/00,"Wed.","Los Angeles",4,"St. Louis",4,"OT",18118
10/11/00,"Wed.","Anaheim",2,"Boston",3,"OT",11167
10/11/00,"Wed.","Minnesota",3,"Philadelphia",3,"OT",18827
10/11/00,"Wed.","Detroit",3,"Edmonton",4,,19995
10/11/00,"Wed.","Atlanta",3,"Washington",3,"OT",11414
10/11/00,"Wed.","NY Rangers",3,"Montreal",1,,18200
10/11/00,"Wed.","Toronto",3,"NY Islanders",2,,18988
10/12/00,"Thu.","San Jose",2,"Phoenix",1,,17103
10/12/00,"Thu.","Vancouver",2,"Colorado",5,,18422
10/12/00,"Thu.","Calgary",2,"Columbus",3,,15706
10/12/00,"Thu.","Dallas",4,"Philadelphia",1,,17001
10/12/00,"Thu.","Chicago",0,"Detroit",4,,21158
10/13/00,"Fri.","Los Angeles",5,"Boston",0,,14352
10/13/00,"Fri.","Edmonton",3,"Buffalo",2,,13002
10/13/00,"Fri.","Nashville",3,"Washington",1,,17113
10/13/00,"Fri.","St. Louis",2,"Minnesota",0,,19576
10/13/00,"Fri.","Florida",2,"Carolina",2,"OT",13764
10/13/00,"Fri.","Pittsburgh",3,"Tampa Bay",2,,14927
10/13/00,"Fri.","Ottawa",3,"New Jersey",1,,16764
10/14/00,"Sat.","San Jose",5,"Boston",2,,17496
10/14/00,"Sat.","Phoenix",6,"Philadelphia",3,,14821
10/14/00,"Sat.","Vancouver",4,"Buffalo",0,,15145
10/14/00,"Sat.","Colorado",3,"Columbus",1,,18007
10/14/00,"Sat.","Nashville",2,"Carolina",1,,16507
10/14/00,"Sat.","Dallas",3,"Washington",0,,17001
10/14/00,"Sat.","Pittsburgh",8,"NY Rangers",6,,14830
10/14/00,"Sat.","NY Islanders",0,"Calgary",2,,16297
10/14/00,"Sat.","New Jersey",4,"Anaheim",2,,14789
10/14/00,"Sat.","Montreal",5,"Chicago",4,"OT",19500
10/14/00,"Sat.","Toronto",0,"Ottawa",4,,19234
10/15/00,"Sun.","Los Angeles",5,"Phoenix",6,,14457
10/15/00,"Sun.","Minnesota",3,"Edmonton",5,,18064
10/15/00,"Sun.","Chicago",2,"Columbus",1,,11780
10/15/00,"Sun.","Detroit",2,"Calgary",4,,19995
10/15/00,"Sun.","Tampa Bay",5,"Atlanta",2,,12373
10/16/00,"Mon.","Vancouver",5,"Toronto",2,,16496
10/16/00,"Mon.","NY Rangers",3,"Anaheim",4,,18200
10/17/00,"Tue.","Edmonton",6,"Boston",1,,12377
10/17/00,"Tue.","Nashville",1,"Los Angeles",1,"OT",13594
10/17/00,"Tue.","Detroit",2,"St. Louis",1,,19995
10/17/00,"Tue.","Atlanta",3,"New Jersey",3,"OT",13106
10/17/00,"Tue.","Washington",3,"Colorado",4,"OT",13335
10/17/00,"Tue.","Philadelphia",1,"Ottawa",6,,19238
10/17/00,"Tue.","NY Islanders",3,"Anaheim",4,,6336
10/17/00,"Tue.","Montreal",4,"Buffalo",3,,19513
10/18/00,"Wed.","Phoenix",2,"Florida",1,"OT",12862
10/18/00,"Wed.","Vancouver",4,"Calgary",1,,14171
10/18/00,"Wed.","Minnesota",6,"Tampa Bay",5,,18064
10/18/00,"Wed.","Dallas",2,"San Jose",1,,17001
10/18/00,"Wed.","Chicago",2,"NY Rangers",4,,12806
10/18/00,"Wed.","Columbus",1,"Colorado",5,,16576
10/18/00,"Wed.","Pittsburgh",2,"Carolina",3,,14035
