,,"DIV","GP","W","L","T","OTL","P","GF","GA","DIFF","HOME","AWAY","L10","STREAK"
1,"  P - DETROIT","CEN",82,51,17,10,4,116,251,187,64,"28-7-5-1","23-10-5-3","1-3-4-2","LOST 2"
2,"  Z - BOSTON","NE",82,43,24,6,9,101,236,201,35,"23-11-2-5","20-13-4-4","4-3-1-2","WON 1"
3,"  X - TORONTO","NE",82,43,25,10,4,100,249,207,42,"24-11-6-0","19-14-4-4","6-3-1-0","WON 4"
4,"  Y - COLORADO","NW",82,45,28,8,1,99,212,169,43,"24-12-4-1","21-16-4-0","5-4-1-0","TIED 1"
5,"  Y - SAN JOSE","PAC",82,44,27,8,3,99,248,199,49,"25-11-3-2","19-16-5-1","7-3-0-0","WON 1"
6,"  X - ST. LOUIS","CEN",82,43,27,8,4,98,227,188,39,"27-12-1-1","16-15-7-3","8-2-0-0","WON 4"
7,"  Y - PHILADELPHIA","ATL",82,42,27,10,3,97,234,192,42,"20-13-5-3","22-14-5-0","2-7-1-0","LOST 1"
8,"  X - NY ISLANDERS","ATL",82,42,28,8,4,96,239,220,19,"21-13-5-2","21-15-3-2","7-2-1-0","WON 3"
9,"  X - CHICAGO","CEN",82,41,27,13,1,96,216,207,9,"28-7-5-1","13-20-8-0","5-4-1-0","WON 1"
10,"  X - NEW JERSEY","ATL",82,41,28,9,4,95,205,187,18,"22-13-4-2","19-15-5-2","8-2-0-0","WON 6"
11,"  X - PHOENIX","PAC",82,40,27,9,6,95,228,210,18,"27-8-3-3","13-19-6-3","6-3-0-1","WON 2"
12,"  X - LOS ANGELES","PAC",82,40,27,11,4,95,214,190,24,"22-12-6-1","18-15-5-3","4-4-2-0","WON 1"
13,"  X - VANCOUVER","NW",82,42,30,7,3,94,254,211,43,"23-11-5-2","19-19-2-1","8-1-1-0","WON 5"
14,"  X - OTTAWA","NE",82,39,27,9,7,94,243,208,35,"21-13-3-4","18-14-6-3","4-4-1-1","LOST 1"
15,"  EDMONTON","NW",82,38,28,12,4,92,205,182,23,"23-14-4-0","15-14-8-4","6-2-1-1","WON 1"
16,"  Y - CAROLINA","SE",82,35,26,16,5,91,217,217,"E","15-13-11-2","20-13-5-3","5-3-2-0","TIED 1"
17,"  DALLAS","PAC",82,36,28,13,5,90,215,213,2,"18-13-6-4","18-15-7-1","3-3-3-1","TIED 1"
18,"  X - MONTRÉAL","NE",82,36,31,12,3,87,207,209,-2,"21-13-6-1","15-18-6-2","7-3-0-0","LOST 2"
19,"  WASHINGTON","SE",82,36,33,11,2,85,228,240,-12,"21-12-6-2","15-21-5-0","6-2-1-1","LOST 1"
20,"  BUFFALO","NE",82,35,35,11,1,82,213,200,13,"20-16-5-0","15-19-6-1","5-3-2-0","WON 1"
21,"  NY RANGERS","ATL",82,36,38,4,4,80,227,258,-31,"19-19-2-1","17-19-2-3","5-5-0-0","LOST 2"
22,"  CALGARY","NW",82,32,35,12,3,79,201,220,-19,"20-14-5-2","12-21-7-1","5-4-1-0","LOST 1"
23,"  MINNESOTA","NW",82,26,35,12,9,73,195,238,-43,"14-14-8-5","12-21-4-4","2-5-1-2","LOST 2"
24,"  ANAHEIM","PAC",82,29,42,8,3,69,175,198,-23,"15-19-5-2","14-23-3-1","4-5-1-0","LOST 2"
25,"  NASHVILLE","CEN",82,28,41,13,0,69,196,230,-34,"17-16-8-0","11-25-5-0","2-7-1-0","LOST 3"
26,"  PITTSBURGH","ATL",82,28,41,8,5,69,198,249,-51,"16-20-4-1","12-21-4-4","0-8-1-1","LOST 2"
27,"  TAMPA BAY","SE",82,27,40,11,4,69,178,219,-41,"16-17-5-3","11-23-6-1","2-7-1-0","WON 1"
28,"  FLORIDA","SE",82,22,44,10,6,60,180,250,-70,"11-23-3-4","11-21-7-2","3-3-3-1","LOST 2"
29,"  COLUMBUS","CEN",82,22,47,8,5,57,164,255,-91,"14-18-5-4","8-29-3-1","2-7-0-1","LOST 1"
30," ATLANTA","SE",82,19,47,11,5,54,187,288,-101,"11-21-9-0","8-26-2-5","1-5-3-1","TIED 1"
