,,"DIV","GP","W","L","T","OTL","P","GF","GA","DIFF","HOME","AWAY","L10","STREAK"
1,"  P - DETROIT","CEN",82,48,21,11,2,109,255,189,66,"30-7-4-0","18-14-7-2","6-3-1-0","LOST 1"
2,"  Z - TAMPA BAY","SE",82,46,22,8,6,106,245,192,53,"24-10-4-3","22-12-4-3","5-4-0-1","LOST 1"
3,"  Y - SAN JOSE","PAC",82,43,21,12,6,104,219,183,36,"24-8-7-2","19-13-5-4","8-2-0-0","WON 1"
4,"  Y - BOSTON","NE",82,41,19,15,7,104,209,188,21,"18-12-9-2","23-7-6-5","6-3-1-0","WON 1"
5,"  X - TORONTO","NE",82,45,24,10,3,103,242,204,38,"22-14-3-2","23-10-7-1","7-2-1-0","WON 3"
6,"  X - OTTAWA","NE",82,43,23,10,6,102,262,189,73,"23-8-5-5","20-15-5-1","5-3-1-1","LOST 1"
7,"  Y - VANCOUVER","NW",82,43,24,10,5,101,235,194,41,"21-13-7-0","22-11-3-5","6-2-1-1","WON 6"
8,"  Y - PHILADELPHIA","ATL",82,40,21,15,6,101,229,186,43,"24-11-3-3","16-10-12-3","4-4-2-0","TIED 1"
9,"  X - NEW JERSEY","ATL",82,43,25,12,2,100,213,164,49,"22-13-5-1","21-12-7-1","6-3-1-0","LOST 1"
10,"  X - COLORADO","NW",82,40,22,13,7,100,236,198,38,"19-14-6-2","21-8-7-5","2-5-1-2","LOST 1"
11,"  X - DALLAS","PAC",82,41,26,13,2,97,194,175,19,"26-7-8-0","15-19-5-2","5-2-1-2","WON 1"
12,"  X - CALGARY","NW",82,42,30,7,3,94,200,176,24,"21-14-5-1","21-16-2-2","6-4-0-0","LOST 1"
13,"  X - MONTRÉAL","NE",82,41,30,7,4,93,208,192,16,"23-13-4-1","18-17-3-3","4-4-1-1","WON 1"
14,"  X - ST. LOUIS","CEN",82,39,30,11,2,91,191,198,-7,"23-11-7-0","16-19-4-2","6-3-1-0","LOST 1"
15,"  X - NY ISLANDERS","ATL",82,38,29,11,4,91,237,210,27,"25-11-4-1","13-18-7-3","6-3-1-0","TIED 1"
16,"  X - NASHVILLE","CEN",82,38,29,11,4,91,216,217,-1,"22-10-7-2","16-19-4-2","5-3-1-1","WON 1"
17,"  EDMONTON","NW",82,36,29,12,5,89,221,208,13,"22-12-4-3","14-17-8-2","7-2-0-1","LOST 1"
18,"  BUFFALO","NE",82,37,34,7,4,85,220,221,-1,"21-13-4-3","16-21-3-1","6-3-1-0","LOST 2"
19,"  MINNESOTA","NW",82,30,29,20,3,83,188,183,5,"19-13-7-2","11-16-13-1","6-3-0-1","WON 3"
20,"  LOS ANGELES","PAC",82,28,29,16,9,81,205,217,-12,"15-16-9-1","13-13-7-8","0-8-0-2","LOST 11"
21," ATLANTA","SE",82,33,37,8,4,78,214,243,-29,"18-17-4-2","15-20-4-2","5-3-1-1","WON 1"
22,"  ANAHEIM","PAC",82,29,35,10,8,76,184,213,-29,"19-11-7-4","10-24-3-4","4-5-1-0","WON 1"
23,"  CAROLINA","SE",82,28,34,14,6,76,172,209,-37,"13-18-8-2","15-16-6-4","4-4-1-1","TIED 1"
24,"  FLORIDA","SE",82,28,35,15,4,75,188,221,-33,"16-15-7-3","12-20-8-1","2-6-1-1","TIED 1"
25,"  NY RANGERS","ATL",82,27,40,7,8,69,206,250,-44,"13-21-3-4","14-19-4-4","2-6-0-2","WON 1"
26,"  PHOENIX","PAC",82,22,36,18,6,68,188,245,-57,"11-19-7-4","11-17-11-2","2-5-2-1","WON 1"
27,"  COLUMBUS","CEN",82,25,45,8,4,62,177,238,-61,"17-18-4-2","8-27-4-2","5-5-0-0","WON 1"
28,"  WASHINGTON","SE",82,23,46,10,3,59,186,253,-67,"13-20-6-2","10-26-4-1","2-5-2-1","LOST 2"
29,"  CHICAGO","CEN",82,20,43,11,8,59,188,259,-71,"13-17-6-5","7-26-5-3","1-5-2-2","LOST 7"
30,"  PITTSBURGH","ATL",82,23,47,8,4,58,190,303,-113,"13-22-6-0","10-25-2-4","6-3-1-0","WON 2"
