,,"DIV","GP","W","L","OT","P","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - SAN JOSE","PAC",82,53,18,11,117,257,204,53,05/04/32,"21-13-7",06/05/13,05/04/01,"LOST 2"
2,"  Z - BOSTON","NE",82,53,19,10,116,274,196,78,"29-6-6","24-13-4",04/06/13,08/02/00,"WON 1"
3,"  Y - DETROIT","CEN",82,51,21,10,112,295,244,51,"27-9-5","24-12-5",06/04/13,03/06/01,"LOST 3"
4,"  Y - WASHINGTON","SE",82,50,24,8,108,272,245,27,"29-9-3","21-15-5",04/05/13,06/02/02,"LOST 1"
5,"  Y - NEW JERSEY","ATL",82,51,27,4,106,244,209,35,"28-12-1","23-15-3",06/02/13,04/05/01,"WON 2"
6,"  X - CHICAGO","CEN",82,46,24,12,104,264,216,48,"24-9-8","22-15-4",04/07/13,07/02/01,"WON 2"
7,"  Y - VANCOUVER","NW",82,45,27,10,100,246,220,26,"24-12-5","21-15-5",03/07/13,06/03/01,"WON 3"
8,"  X - PITTSBURGH","ATL",82,45,28,9,99,264,239,25,"25-13-3","20-15-6",06/06/13,07/02/01,"WON 3"
9,"  X - PHILADELPHIA","ATL",82,44,27,11,99,264,238,26,"24-13-4","20-14-7",04/06/13,04/05/01,"LOST 1"
10,"  X - CALGARY","NW",82,46,30,6,98,254,248,6,"27-10-4","19-20-2",03/02/13,04/06/00,"WON 1"
11,"  X - CAROLINA","SE",82,45,30,7,97,239,226,13,"26-14-1","19-16-6",03/05/13,08/02/00,"LOST 2"
12,"  X - NY RANGERS","ATL",82,43,30,9,95,210,218,-8,"26-11-4","17-19-5",10/06/13,05/04/01,"WON 3"
13,"  X - MONTRÉAL","NE",82,41,30,11,93,249,247,2,"24-10-7","17-20-4",07/07/13,05/03/02,"LOST 4"
14,"  FLORIDA","SE",82,41,30,11,93,234,231,3,"22-12-7","19-18-4",03/08/13,06/03/01,"WON 2"
15,"  X - ST. LOUIS","CEN",82,41,31,10,92,233,233,"E","23-13-5","18-18-5",06/06/13,08/01/01,"WON 3"
16,"  X - COLUMBUS","CEN",82,41,31,10,92,226,230,-4,"25-13-3","16-18-7",06/07/13,03/03/04,"LOST 2"
17,"  X - ANAHEIM","PAC",82,42,33,7,91,245,238,7,"20-18-3","22-15-4",07/03/13,07/02/01,"LOST 1"
18,"  BUFFALO","NE",82,41,32,9,91,250,234,16,"23-15-3","18-17-6",08/05/13,07/02/01,"WON 3"
19,"  MINNESOTA","NW",82,40,33,9,89,219,200,19,"23-11-7","17-22-2",05/03/13,06/03/01,"WON 3"
20,"  NASHVILLE","CEN",82,40,34,8,88,213,233,-20,"24-13-4","16-21-4",06/05/13,05/04/01,"LOST 1"
21,"  EDMONTON","NW",82,38,35,9,85,234,248,-14,"18-17-6","20-18-3",06/04/13,03/07/00,"LOST 1"
22,"  OTTAWA","NE",82,36,35,11,83,217,237,-20,"22-12-7","14-23-4",04/06/13,04/05/01,"LOST 2"
23,"  DALLAS","PAC",82,36,35,11,83,230,257,-27,"20-16-5","16-19-6",06/06/13,03/04/03,"LOST 1"
24,"  TORONTO","NE",82,34,35,13,81,250,293,-43,"16-16-9","18-19-4",06/07/13,05/05/00,"WON 1"
25,"  PHOENIX","PAC",82,36,39,7,79,208,252,-44,"23-15-3","13-24-4",03/03/13,06/04/00,"WON 2"
26,"  LOS ANGELES","PAC",82,34,37,11,79,207,234,-27,"18-15-8","16-22-3",05/08/13,04/05/01,"WON 1"
27," ATLANTA","SE",82,35,41,6,76,257,280,-23,"18-21-2","17-20-4",07/01/13,06/04/00,"WON 1"
28,"  COLORADO","NW",82,32,45,5,69,199,257,-58,"18-21-2","14-24-3",09/04/13,01/06/03,"LOST 4"
29,"  TAMPA BAY","SE",82,24,40,18,66,210,279,-69,12/18/11,12/22/07,03/10/13,01/07/02,"LOST 9"
30,"  NY ISLANDERS","ATL",82,26,47,9,61,201,279,-78,"17-18-6",09/29/03,03/05/13,02/07/01,"LOST 4"
