"  P - DETROIT",1
"  Z - BOSTON",2
"  X - TORONTO",3
"  Y - COLORADO",4
"  Y - SAN JOSE",5
"  X - ST. LOUIS",6
"  Y - PHILADELPHIA",7
"  X - NY ISLANDERS",8
"  X - CHICAGO",9
"  X - NEW JERSEY",10
"  X - PHOENIX",11
"  X - LOS ANGELES",12
"  X - VANCOUVER",13
"  X - OTTAWA",14
"  EDMONTON",15
"  Y - CAROLINA",16
"  DALLAS",17
"  X - MONTRÉAL",18
"  WASHINGTON",19
"  BUFFALO",20
"  NY RANGERS",21
"  CALGARY",22
"  MINNESOTA",23
"  ANAHEIM",24
"  NASHVILLE",25
"  PITTSBURGH",26
"  TAMPA BAY",27
"  FLORIDA",28
"  COLUMBUS",29
" ATLANTA",30
