"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
10/03/01,"Wed.","Calgary",1,"Edmonton",0,,16242
10/03/01,"Wed.","Pittsburgh",1,"Colorado",3,,17148
10/03/01,"Wed.","Toronto",4,"Ottawa",5,,19173
10/04/01,"Thu.","San Jose",3,"Detroit",4,"OT",17596
10/04/01,"Thu.","Los Angeles",2,"Phoenix",2,"OT",18210
10/04/01,"Thu.","Vancouver",4,"Chicago",5,,18422
10/04/01,"Thu.","Columbus",3,"St. Louis",3,"OT",18136
10/04/01,"Thu.","Philadelphia",5,"Florida",2,,19545
10/04/01,"Thu.","Ottawa",4,"Montreal",6,,18500
10/04/01,"Thu.","Buffalo",1,"Atlanta",2,,16112
10/04/01,"Thu.","Boston",4,"Anaheim",2,,17565
10/05/01,"Fri.","Dallas",4,"Nashville",1,,18532
10/05/01,"Fri.","Tampa Bay",2,"NY Islanders",3,,20174
10/05/01,"Fri.","Carolina",3,"NY Rangers",1,,18730
10/06/01,"Sat.","San Jose",0,"Minnesota",0,"OT",16774
10/06/01,"Sat.","Vancouver",1,"Detroit",4,,18422
10/06/01,"Sat.","Edmonton",6,"Phoenix",2,,16839
10/06/01,"Sat.","Calgary",4,"Chicago",0,,14038
10/06/01,"Sat.","Nashville",2,"St. Louis",2,"OT",17113
10/06/01,"Sat.","Florida",0,"NY Islanders",3,,19250
10/06/01,"Sat.","Washington",6,"New Jersey",1,,18672
10/06/01,"Sat.","Pittsburgh",2,"Anaheim",4,,15411
10/06/01,"Sat.","Philadelphia",3,"Columbus",3,"OT",19459
10/06/01,"Sat.","Montreal",2,"Toronto",2,"OT",21273
10/06/01,"Sat.","Buffalo",3,"Ottawa",2,,16590
10/06/01,"Sat.","Boston",4,"Atlanta",3,"OT",11563
10/07/01,"Sun.","Los Angeles",3,"Minnesota",4,,14354
10/07/01,"Sun.","Tampa Bay",0,"Florida",5,,12658
10/07/01,"Sun.","Carolina",3,"Dallas",0,,15365
10/07/01,"Sun.","NY Rangers",5,"Buffalo",4,"OT",18200
10/08/01,"Mon.","Calgary",1,"Phoenix",2,"OT",13078
10/08/01,"Mon.","Columbus",2,"Philadelphia",2,"OT",18136
10/08/01,"Mon.","Toronto",6,"Anaheim",1,,18585
10/08/01,"Mon.","Boston",4,"Washington",0,,12509
10/09/01,"Tue.","Edmonton",1,"Chicago",0,,14191
10/09/01,"Tue.","Colorado",5,"Vancouver",4,,18007
10/09/01,"Tue.","Dallas",2,"Los Angeles",1,,18532
10/09/01,"Tue.","Carolina",2,"Ottawa",6,,10052
10/09/01,"Tue.","Montreal",3,"Anaheim",1,,17510
10/10/01,"Wed.","Minnesota",2,"Boston",1,,18568
10/10/01,"Wed.","Detroit",2,"Calgary",4,,20058
10/10/01,"Wed.","Florida",0,"Ottawa",2,,14651
10/10/01,"Wed.","Pittsburgh",3,"NY Islanders",6,,14038
10/10/01,"Wed.","NY Rangers",2,"Washington",5,,17340
10/10/01,"Wed.","Buffalo",2,"Philadelphia",1,,16659
10/11/01,"Thu.","San Jose",4,"Tampa Bay",3,,16591
10/11/01,"Thu.","Edmonton",5,"Colorado",3,,15843
10/11/01,"Thu.","Nashville",1,"Calgary",0,,12333
10/11/01,"Thu.","Dallas",1,"Vancouver",4,,18532
10/11/01,"Thu.","St. Louis",5,"Los Angeles",6,,19565
10/11/01,"Thu.","Chicago",3,"Phoenix",0,,16892
10/11/01,"Thu.","Carolina",2,"Toronto",3,,14106
10/11/01,"Thu.","New Jersey",4,"NY Islanders",6,,17123
10/12/01,"Fri.","Anaheim",2,"Washington",1,,16219
10/12/01,"Fri.","Minnesota",6,"Chicago",4,,18568
