"  P - VANCOUVER",1
"  Z - NY RANGERS",2
"  Y - ST. LOUIS",3
"  X - PITTSBURGH",4
"  X - NASHVILLE",5
"  X - PHILADELPHIA",6
"  Y - BOSTON",7
"  X - DETROIT",8
"  X - NEW JERSEY",9
"  X - CHICAGO",10
"  Y - PHOENIX",11
"  X - SAN JOSE",12
"  X - LOS ANGELES",13
"  Y - FLORIDA",14
"  X - WASHINGTON",15
"  X - OTTAWA",16
"  CALGARY",17
"  DALLAS",18
"  BUFFALO",19
"  COLORADO",20
"  TAMPA BAY",21
"  WINNIPEG",22
"  CAROLINA",23
"  MINNESOTA",24
"  ANAHEIM",25
"  TORONTO",26
"  NY ISLANDERS",27
"  MONTRÉAL",28
"  EDMONTON",29
"  COLUMBUS",30
