"  P - CHICAGO",1
"  Z - PITTSBURGH",2
"  Y - ANAHEIM",3
"  Y - MONTRÉAL",4
"  X - BOSTON",5
"  X - ST. LOUIS",6
"  X - LOS ANGELES",7
"  Y - VANCOUVER",8
"  X - TORONTO",9
"  Y - WASHINGTON",10
"  X - SAN JOSE",11
"  X - NY RANGERS",12
"  X - DETROIT",13
"  X - OTTAWA",14
"  X - MINNESOTA",15
"  X - NY ISLANDERS",16
"  COLUMBUS",17
"  WINNIPEG",18
"  PHOENIX",19
"  PHILADELPHIA",20
"  DALLAS",21
"  NEW JERSEY",22
"  BUFFALO",23
"  EDMONTON",24
"  CALGARY",25
"  CAROLINA",26
"  NASHVILLE",27
"  TAMPA BAY",28
"  COLORADO",29
"  FLORIDA",30
