"  P - VANCOUVER",1
"  Z - WASHINGTON",2
"  Y - PHILADELPHIA",3
"  X - PITTSBURGH",4
"  Y - SAN JOSE",5
"  Y - DETROIT",6
"  Y - BOSTON",7
"  X - TAMPA BAY",8
"  X - ANAHEIM",9
"  X - NASHVILLE",10
"  X - PHOENIX",11
"  X - LOS ANGELES",12
"  X - CHICAGO",13
"  X - MONTRÉAL",14
"  X - BUFFALO",15
"  DALLAS",16
"  CALGARY",17
"  X - NY RANGERS",18
"  CAROLINA",19
"  ST. LOUIS",20
"  MINNESOTA",21
"  TORONTO",22
"  NEW JERSEY",23
"  COLUMBUS",24
" ATLANTA",25
"  OTTAWA",26
"  NY ISLANDERS",27
"  FLORIDA",28
"  COLORADO",29
"  EDMONTON",30
