"  P - SAN JOSE",1
"  Z - BOSTON",2
"  Y - DETROIT",3
"  Y - WASHINGTON",4
"  Y - NEW JERSEY",5
"  X - CHICAGO",6
"  Y - VANCOUVER",7
"  X - PITTSBURGH",8
"  X - PHILADELPHIA",9
"  X - CALGARY",10
"  X - CAROLINA",11
"  X - NY RANGERS",12
"  X - MONTRÉAL",13
"  FLORIDA",14
"  X - ST. LOUIS",15
"  X - COLUMBUS",16
"  X - ANAHEIM",17
"  BUFFALO",18
"  MINNESOTA",19
"  NASHVILLE",20
"  EDMONTON",21
"  OTTAWA",22
"  DALLAS",23
"  TORONTO",24
"  PHOENIX",25
"  LOS ANGELES",26
" ATLANTA",27
"  COLORADO",28
"  TAMPA BAY",29
"  NY ISLANDERS",30
