,,"DIV","GP","W","L","OT","P","ROW","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - VANCOUVER","NW",82,54,19,9,117,50,262,185,77,"27-9-5","27-10-4",04/05/13,07/03/00,"WON 2"
2,"  Z - WASHINGTON","SE",82,48,23,11,107,43,224,197,27,"25-8-8","23-15-3",05/06/13,07/02/01,"LOST 1"
3,"  Y - PHILADELPHIA","ATL",82,47,23,12,106,44,259,223,36,"22-12-7","25-11-5",03/07/13,03/04/03,"WON 1"
4,"  X - PITTSBURGH","ATL",82,49,25,8,106,39,238,199,39,"25-14-2","24-11-6",10/03/13,08/02/00,"WON 4"
5,"  Y - SAN JOSE","PAC",82,48,25,9,105,43,248,213,35,"25-11-5","23-14-4",05/05/13,07/02/01,"WON 1"
6,"  Y - DETROIT","CEN",82,47,25,10,104,43,261,241,20,"21-14-6","26-11-4",04/04/13,04/04/02,"WON 1"
7,"  Y - BOSTON","NE",82,46,25,11,103,44,246,195,51,"22-13-6","24-12-5",02/06/13,06/03/01,"LOST 1"
8,"  X - TAMPA BAY","SE",82,46,25,11,103,40,247,240,7,"25-11-5","21-14-6",06/06/13,07/03/00,"WON 2"
9,"  X - ANAHEIM","PAC",82,47,30,5,99,43,239,235,4,"26-13-2","21-17-3",04/02/13,07/03/00,"WON 3"
10,"  X - NASHVILLE","CEN",82,44,27,11,99,38,219,194,25,"24-9-8","20-18-3",06/04/13,07/02/01,"LOST 1"
11,"  X - PHOENIX","PAC",82,43,26,13,99,38,231,226,5,"21-13-7","22-13-6",05/06/13,05/03/02,"LOST 1"
12,"  X - LOS ANGELES","PAC",82,46,30,6,98,36,219,198,21,"25-13-3","21-17-3",10/02/13,06/04/00,"LOST 2"
13,"  X - CHICAGO","CEN",82,44,29,9,97,38,258,225,33,"24-17-0","20-12-9",06/05/13,05/04/01,"LOST 1"
14,"  X - MONTRÉAL","NE",82,44,30,8,96,41,216,209,7,"24-11-6","20-19-2",03/03/13,05/04/01,"WON 1"
15,"  X - BUFFALO","NE",82,43,29,10,96,38,245,229,16,"21-16-4","22-13-6",05/01/13,08/01/01,"WON 4"
16,"  DALLAS","PAC",82,42,29,11,95,37,227,233,-6,"22-11-8","20-18-3",05/07/13,04/04/02,"LOST 1"
17,"  CALGARY","NW",82,41,29,12,94,32,250,237,13,"23-13-5","18-16-7",09/07/13,05/02/03,"OT 1"
18,"  X - NY RANGERS","ATL",82,44,33,5,93,35,233,198,35,"20-17-4","24-16-1",09/03/13,06/03/01,"WON 1"
19,"  CAROLINA","SE",82,40,31,11,91,35,236,239,-3,"22-14-5","18-17-6",05/05/13,07/02/01,"LOST 1"
20,"  ST. LOUIS","CEN",82,38,33,11,87,34,240,234,6,"23-13-5","15-20-6",04/06/13,06/02/02,"WON 1"
21,"  MINNESOTA","NW",82,39,35,8,86,36,206,233,-27,"19-17-5","20-18-3",03/05/13,04/06/00,"WON 2"
22,"  TORONTO","NE",82,37,34,11,85,32,218,251,-33,"18-15-8","19-19-3",05/06/13,06/03/01,"LOST 2"
23,"  NEW JERSEY","ATL",82,38,39,5,81,35,174,209,-35,"22-16-3","16-23-2",03/02/13,04/05/01,"WON 1"
24,"  COLUMBUS","CEN",82,34,35,13,81,29,215,258,-43,"17-19-5","17-16-8",05/08/13,01/06/03,"LOST 4"
25," ATLANTA","SE",82,34,36,12,80,29,223,269,-46,"17-17-7","17-19-5",05/07/13,04/06/00,"LOST 2"
26,"  OTTAWA","NE",82,32,40,10,74,30,192,250,-58,"16-20-5","16-20-5",02/05/13,05/04/01,"LOST 1"
27,"  NY ISLANDERS","ATL",82,30,39,13,73,26,229,264,-35,"17-18-6","13-21-7",04/06/13,03/06/01,"LOST 1"
28,"  FLORIDA","SE",82,30,40,12,72,26,195,229,-34,"16-17-8","14-23-4",04/07/13,01/07/02,"WON 1"
29,"  COLORADO","NW",82,30,44,8,68,24,227,288,-61,"16-21-4","14-23-4",06/01/13,02/08/00,"WON 1"
30,"  EDMONTON","NW",82,25,45,12,62,23,193,269,-76,"13-22-6",12/23/06,02/09/13,02/06/02,"OT 1"
