"  P - WASHINGTON",1
"  Z - SAN JOSE",2
"  Y - CHICAGO",3
"  X - PHOENIX",4
"  Y - VANCOUVER",5
"  Y - NEW JERSEY",6
"  X - DETROIT",7
"  X - PITTSBURGH",8
"  X - LOS ANGELES",9
"  X - NASHVILLE",10
"  Y - BUFFALO",11
"  X - COLORADO",12
"  X - OTTAWA",13
"  X - BOSTON",14
"  ST. LOUIS",15
"  CALGARY",16
"  ANAHEIM",17
"  X - PHILADELPHIA",18
"  X - MONTRÉAL",19
"  DALLAS",20
"  NY RANGERS",21
"  MINNESOTA",22
" ATLANTA",23
"  CAROLINA",24
"  TAMPA BAY",25
"  NY ISLANDERS",26
"  COLUMBUS",27
"  FLORIDA",28
"  TORONTO",29
"  EDMONTON",30
