"  P - DETROIT",1
"  Z - TAMPA BAY",2
"  Y - SAN JOSE",3
"  Y - BOSTON",4
"  X - TORONTO",5
"  X - OTTAWA",6
"  Y - VANCOUVER",7
"  Y - PHILADELPHIA",8
"  X - NEW JERSEY",9
"  X - COLORADO",10
"  X - DALLAS",11
"  X - CALGARY",12
"  X - MONTRÉAL",13
"  X - ST. LOUIS",14
"  X - NY ISLANDERS",15
"  X - NASHVILLE",16
"  EDMONTON",17
"  BUFFALO",18
"  MINNESOTA",19
"  LOS ANGELES",20
" ATLANTA",21
"  ANAHEIM",22
"  CAROLINA",23
"  FLORIDA",24
"  NY RANGERS",25
"  PHOENIX",26
"  COLUMBUS",27
"  WASHINGTON",28
"  CHICAGO",29
"  PITTSBURGH",30
